國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
104年 4月,3080897,14960,8523,1920,23656,22103,87631,230076,4886,3356,19261,71856,7927,24518,10059,491803,1500065,273737,108531,176029
104年 5月,3087350,14278,8592,2002,23728,3212,91703,238840,6202,3630,18774,74348,9360,27864,13031,480162,1469019,286660,134323,181622
104年 6月,2830081,13509,6784,1728,18070,41342,78071,210566,6055,2495,17008,80555,9762,22447,9566,469623,1306550,260488,107629,167833
104年 7月,2973132,11368,7860,1461,19452,9245,84664,217720,5665,2792,15377,88623,10527,24805,10635,486244,1385196,288784,127650,175064
104年 8月,2851962,10652,7346,771,17102,17551,78201,208551,5501,3608,14139,75061,8831,21643,9900,438069,1366094,289239,107689,172014
104年 9月,2891652,11099,7827,676,16425,7523,80449,209785,5127,3857,16090,73701,10330,24075,6713,437255,1411821,272228,111084,185587
104年 10月,2796634,11348,6834,1612,19314,1175,72080,212397,4185,3590,14327,68799,8762,26187,8397,368825,1420192,259150,108595,180865
104年 11月,2705476,11808,10486,867,20020,4471,75735,188635,4360,3237,14301,60720,8000,20828,8809,350113,1389362,246021,106047,181656
104年 12月,2876499,13799,7162,1221,18841,43144,73106,215142,4746,4687,14474,74561,7840,25629,7343,422865,1377083,263744,111077,190035
105年,33396311,149271,92377,15383,246459,56277,1021879,2451120,55029,41418,191603,766349,94150,270547,100746,5097069,16420638,2995887,1260480,2069629
105年 1月,2699938,10956,6442,1319,18075,5923,79254,202013,4489,3092,13909,66255,8833,24106,7780,396642,1329949,240730,97564,182607
105年 2月,2128310,8468,6853,795,13117,15966,74005,158515,3552,2891,10681,51025,5197,15654,6042,303419,1047454,189679,80967,134030
105年 3月,2713409,11720,8022,1563,21554,3947,84704,222496,4685,3218,16345,62495,6606,23351,10123,426495,1282006,259091,98456,166532
105年 4月,2675365,10674,7962,1192,22056,5962,73823,203434,4099,4052,16025,65115,7739,24302,6748,390109,1321355,243244,100737,166737
105年 5月,2827897,13161,6676,1273,21244,1588,90926,205766,5103,3892,17796,62075,8122,22622,7317,434670,1395133,237806,120160,172567
105年 6月,2917685,13662,8782,1694,25106,3057,84589,214599,5010,4252,19236,74101,8492,23460,4903,467165,1408987,260365,112140,178085
105年 7月,2752143,13228,7228,1395,23346,3948,92922,197501,5098,2936,15237,63162,9002,23334,11082,418682,1348976,238123,103369,173574
